epoch (ms),time (03:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1682853456529,2023-04-30T14.17.36.529,3.257,0.049,0.407,0.067
1682853456540,2023-04-30T14.17.36.540,3.268,0.076,0.361,0.083
1682853456550,2023-04-30T14.17.36.550,3.278,0.064,0.309,0.064
1682853456560,2023-04-30T14.17.36.560,3.288,0.027,0.244,-0.008
1682853456571,2023-04-30T14.17.36.571,3.299,-0.031,0.226,-0.043
1682853456581,2023-04-30T14.17.36.581,3.309,-0.102,0.245,-0.009
1682853456591,2023-04-30T14.17.36.591,3.319,-0.077,0.228,0.030
1682853456600,2023-04-30T14.17.36.600,3.328,-0.026,0.201,0.062
1682853456610,2023-04-30T14.17.36.610,3.338,0.011,0.169,0.071
1682853456620,2023-04-30T14.17.36.620,3.348,0.037,0.128,0.064
1682853456631,2023-04-30T14.17.36.631,3.359,0.052,0.086,0.044
1682853456641,2023-04-30T14.17.36.641,3.369,0.026,0.081,0.031
1682853456651,2023-04-30T14.17.36.651,3.379,-0.006,0.116,0.059
1682853456661,2023-04-30T14.17.36.661,3.389,-0.031,0.096,0.014
1682853456672,2023-04-30T14.17.36.672,3.400,-0.058,0.098,-0.015
1682853456682,2023-04-30T14.17.36.682,3.410,-0.055,0.090,-0.036
1682853456692,2023-04-30T14.17.36.692,3.420,-0.038,0.078,-0.058
1682853456701,2023-04-30T14.17.36.701,3.429,-0.039,0.071,-0.066
1682853456711,2023-04-30T14.17.36.711,3.439,-0.007,0.069,-0.037
1682853456721,2023-04-30T14.17.36.721,3.449,0.038,0.068,0.012
1682853456733,2023-04-30T14.17.36.733,3.461,0.054,0.053,0.033
1682853456742,2023-04-30T14.17.36.742,3.470,0.032,0.083,0.073
1682853456752,2023-04-30T14.17.36.752,3.480,0.025,0.068,0.047
1682853456762,2023-04-30T14.17.36.762,3.490,0.000,0.047,-0.008
1682853456773,2023-04-30T14.17.36.773,3.501,0.002,0.045,-0.013
1682853456783,2023-04-30T14.17.36.783,3.511,0.029,0.022,-0.008
1682853456793,2023-04-30T14.17.36.793,3.521,0.063,0.011,0.002
1682853456803,2023-04-30T14.17.36.803,3.531,0.093,-0.012,0.009
1682853456814,2023-04-30T14.17.36.814,3.542,0.114,-0.009,0.053
1682853456822,2023-04-30T14.17.36.822,3.550,0.100,-0.007,0.085
1682853456833,2023-04-30T14.17.36.833,3.561,0.068,-0.008,0.075
1682853456843,2023-04-30T14.17.36.843,3.571,0.065,-0.012,0.057
1682853456853,2023-04-30T14.17.36.853,3.581,0.060,-0.014,0.041
1682853456863,2023-04-30T14.17.36.863,3.591,0.020,-0.004,0.012
1682853456874,2023-04-30T14.17.36.874,3.602,-0.006,-0.013,-0.039
1682853456884,2023-04-30T14.17.36.884,3.612,-0.004,-0.013,-0.027
1682853456894,2023-04-30T14.17.36.894,3.622,0.040,-0.011,0.016
1682853456904,2023-04-30T14.17.36.904,3.632,0.065,-0.023,0.044
1682853456915,2023-04-30T14.17.36.915,3.643,0.069,-0.020,0.072
1682853456924,2023-04-30T14.17.36.924,3.652,0.062,-0.013,0.084
1682853456934,2023-04-30T14.17.36.934,3.662,0.026,-0.003,0.057
